,method,auc_noisy,elapsed,subproblem,subproblem_id,dataset_id,num_boost_round
231,TotalGain-oob (Shap),0.5511111111111111,0.4441659450531006,classification,2,2,16
232,TotalGain,0.22222222222222224,5.015411853790283,classification,2,2,16
233,TotalGain (Shap),0.5111111111111112,0.3678410053253174,classification,2,2,16
234,Permutation (perm_round = 5),0.3555555555555555,3.7212233543395996,classification,2,2,16
235,TotalGain-oob (Saabas),0.44000000000000006,11.312196969985962,classification,2,2,32
236,TotalGain-oob (Shap),0.5244444444444445,0.861544132232666,classification,2,2,32
237,TotalGain,0.22222222222222227,1.3727834224700928,classification,2,2,32
238,TotalGain (Shap),0.48444444444444446,0.6938169002532959,classification,2,2,32
239,Permutation (perm_round = 5),0.4955555555555555,3.1261684894561768,classification,2,2,32
240,TotalGain-oob (Saabas),0.45333333333333337,6.549277305603027,classification,2,2,64
241,TotalGain-oob (Shap),0.52,1.2178308963775635,classification,2,2,64
242,TotalGain,0.21333333333333335,2.6793644428253174,classification,2,2,64
243,TotalGain (Shap),0.48444444444444446,1.551598072052002,classification,2,2,64
244,Permutation (perm_round = 5),0.6355555555555555,1.8908345699310303,classification,2,2,64
245,TotalGain-oob (Saabas),0.6266666666666667,0.8232316970825195,classification,2,3,1
246,TotalGain-oob (Shap),0.5111111111111111,0.1568140983581543,classification,2,3,1
247,TotalGain,0.7533333333333332,0.30162715911865234,classification,2,3,1
248,TotalGain (Shap),0.7444444444444445,0.057846784591674805,classification,2,3,1
249,Permutation (perm_round = 5),0.3244444444444444,1.666623592376709,classification,2,3,1
250,TotalGain-oob (Saabas),0.6311111111111112,2.060734272003174,classification,2,3,2
251,TotalGain-oob (Shap),0.6044444444444446,0.17759990692138672,classification,2,3,2
252,TotalGain,0.7822222222222223,0.3247253894805908,classification,2,3,2
253,TotalGain (Shap),0.8044444444444444,0.06362485885620117,classification,2,3,2
254,Permutation (perm_round = 5),0.4,1.476785659790039,classification,2,3,2
255,TotalGain-oob (Saabas),0.6155555555555555,1.980107307434082,classification,2,3,4
256,TotalGain-oob (Shap),0.4466666666666667,0.21868515014648438,classification,2,3,4
257,TotalGain,0.8355555555555556,2.254917860031128,classification,2,3,4
258,TotalGain (Shap),0.8355555555555556,0.09616446495056152,classification,2,3,4
259,Permutation (perm_round = 5),0.45111111111111113,4.143781900405884,classification,2,3,4
260,TotalGain-oob (Saabas),0.4444444444444444,14.533981323242188,classification,2,3,8
261,TotalGain-oob (Shap),0.38222222222222224,0.28069353103637695,classification,2,3,8
262,TotalGain,0.7377777777777778,0.6666543483734131,classification,2,3,8
263,TotalGain (Shap),0.7333333333333334,0.1831529140472412,classification,2,3,8
264,Permutation (perm_round = 5),0.528888888888889,1.5117485523223877,classification,2,3,8
265,TotalGain-oob (Saabas),0.48000000000000004,0.5208358764648438,classification,2,3,16
